"","ID","AGE","GENDER","RACE","ArrestTime","Hour","Month","Weekday","OFFENSE","Code","ShortCode"
"509",4941,21,"M","B","2017-02-02T13:20:00","13","二月","星期四","601.12 Interference with Official Duties","601","6"
"565",6419,21,"M","B","2017-03-10T02:15:00","2","三月","星期五","601.12 Interference with Official Duties","601","6"
"570",26,15,"M","B","2016-08-31T21:29:00","21","八月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"584",28,18,"M","B","2016-08-02T13:45:00","13","八月","星期二","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"601",46,16,"M","B","2016-09-13T09:15:00","9","九月","星期二","6110.1 Possesion of Firearm by Minor","6110","61"
"627",729,13,"M","B","2016-08-24T12:34:00","12","八月","星期三","607.13 Penalties for Discharging Firearms or Air Guns ","607","6"
"628",729,13,"M","B","2016-08-24T12:34:00","12","八月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"629",729,13,"M","B","2016-08-24T12:34:00","12","八月","星期三","2707.1 Discharge of a Firearm into Occupied Structure","2707","27"
"632",2475,21,"M","W","2016-10-31T21:35:00","21","十月","星期一","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"647",94,16,"M","B","2016-09-01T23:22:00","23","九月","星期四","6110.1 Possesion of Firearm by Minor ","6110","61"
"667",4576,17,"M","B","2017-01-28T17:00:00","17","一月","星期六","6110.1 Possesion of Firearm by Minor","6110","61"
"727",2403,16,"M","B","2016-11-01T20:04:00","20","十一月","星期二","6110.1 Possesion of Firearm by Minor","6110","61"
"743",5168,17,"M","B","2017-02-10T19:15:00","19","二月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"747",5173,13,"M","B","2017-02-08T12:44:00","12","二月","星期三","6110.1 Possesion of Firearm by Minor","6110","61"
"832",2422,19,"M","B","2016-11-09T12:53:00","12","十一月","星期三","607.03 Discharging Firearm or Airgun","607","6"
"889",328,19,"M","W","2016-09-06T14:00:00","14","九月","星期二","3122.1 Statuatory Sexual Assault ","3122","31"
"966",2067,14,"M","B","2016-10-21T20:55:00","20","十月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"993",5328,15,"M","B","2017-02-13T17:30:00","17","二月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"1039",5337,13,"M","B","2017-02-08T20:45:00","20","二月","星期三","2703.1 Aggravated Harassment by Prisoner","2703","27"
"1047",1035,15,"M","B","2016-09-10T15:50:00","15","九月","星期六","6110.1 Possesion of Firearm by Minor","6110","61"
"1065",3532,16,"M","B","2016-12-17T09:50:00","9","十二月","星期六","6110.1 Possesion of Firearm by Minor","6110","61"
"1103",2547,17,"M","B","2016-11-16T14:03:00","14","十一月","星期三","6110.1 Possesion of Firearm by Minor","6110","61"
"1124",416,16,"M","B","2016-09-19T15:00:00","15","九月","星期一","607.03 Discharging Firearm or Airgun ","607","6"
"1125",416,16,"M","B","2016-09-19T15:00:00","15","九月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"1138",2584,15,"M","B","2016-11-07T21:10:00","21","十一月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"1180",6480,21,"M","W","2017-03-11T21:35:00","21","三月","星期六","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"1186",2601,17,"M","B","2016-11-16T14:03:00","14","十一月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"1191",2610,21,"M","B","2016-11-18T09:54:00","9","十一月","星期五","3122.1 Statuatory Sexual Assault ","3122","31"
"1209",2546,17,"M","B","2016-11-16T14:03:00","14","十一月","星期三","6110.1 Possesion of Firearm by Minor","6110","61"
"1223",2621,21,"M","B","2016-11-19T17:35:00","17","十一月","星期六","6110.2 Possesion of Firearm with Altered Mfg. Number ","6110","61"
"1244",5432,21,"M","B","2017-02-09T16:26:00","16","二月","星期四","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"1280",5905,21,"F","B","2017-02-14T15:54:00","15","二月","星期二","601.12 Interference with Official Duties ","601","6"
"1293",5433,18,"M","B","2017-02-09T16:26:00","16","二月","星期四","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"1301",5434,21,"M","B","2017-02-09T16:26:00","16","二月","星期四","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"1326",4548,16,"M","B","2017-01-09T02:03:00","2","一月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"1332",5133,17,"M","O","2017-01-11T11:30:00","11","一月","星期三","3124.1 Sexual Assault ","3124","31"
"1417",2713,20,"F","B","2016-10-09T02:40:00","2","十月","星期日","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION ","3503","35"
"1442",4276,19,"M","B","2017-01-01T20:43:00","20","一月","星期日","607.03 Discharging Firearm or Airgun","607","6"
"1456",2715,17,"F","B","2016-10-09T02:40:00","2","十月","星期日","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION ","3503","35"
"1485",6545,21,"M","B","2017-03-12T01:25:00","1","三月","星期日","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"1504",299,14,"M","B","2016-08-26T06:15:00","6","八月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"1581",365,18,"M","B","2016-08-31T21:29:00","21","八月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"1786",2914,19,"M","B","2016-11-23T10:30:00","10","十一月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number ","6110","61"
"1825",4017,19,"M","B","2016-12-28T17:58:00","17","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"1836",2070,16,"M","B","2016-10-26T06:15:00","6","十月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"1837",2070,16,"M","B","2016-10-26T06:15:00","6","十月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"1886",6552,18,"M","B","2017-03-12T04:04:00","4","三月","星期日","607.03 Discharging Firearm or Airgun","607","6"
"1891",4394,18,"M","W","2017-01-06T11:10:00","11","一月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"1927",2949,20,"M","W","2016-11-18T01:47:00","1","十一月","星期五","601.16 Public Urination And Defecation ","601","6"
"1961",750,16,"M","B","2016-08-30T00:32:00","0","八月","星期二","6110.1 Possesion of Firearm by Minor","6110","61"
"1974",6624,21,"M","O","2017-03-13T22:39:00","22","三月","星期一","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"2075",730,12,"M","B","2016-08-24T12:34:00","12","八月","星期三","607.13 Penalties for Discharging Firearms or Air Guns ","607","6"
"2076",730,12,"M","B","2016-08-24T12:34:00","12","八月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"2077",730,12,"M","B","2016-08-24T12:34:00","12","八月","星期三","2707.1 Discharge of a Firearm into Occupied Structure","2707","27"
"2085",734,21,"M","W","2016-08-13T02:18:00","2","八月","星期六","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"2108",5930,16,"M","B","2017-02-17T19:57:00","19","二月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"2116",3069,21,"M","B","2016-12-02T10:00:00","10","十二月","星期五","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"2200",1545,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","6310.1 Selling Liquor to Minors ","6310","63"
"2201",1545,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","601.19 Social Host and Underage Drinking","601","6"
"2296",5958,13,"F","B","2017-03-01T14:00:00","14","三月","星期三","6110.1 Possesion of Firearm by Minor","6110","61"
"2422",925,17,"M","B","2016-09-02T13:51:00","13","九月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"2443",926,16,"M","B","2016-09-02T13:51:00","13","九月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"2466",5974,13,"M","B","2017-02-25T21:00:00","21","二月","星期六","607.07 Carrying Fascimiles of Firearms Prohibited ","607","6"
"2476",6300,13,"M","B","2017-03-08T13:40:00","13","三月","星期三","607.07 Carrying Fascimiles of Firearms Prohibited ","607","6"
"2551",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"2582",6036,15,"M","B","2017-02-16T10:55:00","10","二月","星期四","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","2709","27"
"2591",964,19,"M","B","2016-09-10T18:46:00","18","九月","星期六","2707.1 Discharge of a Firearm into Occupied Structure","2707","27"
"2599",965,16,"M","B","2016-09-10T18:45:00","18","九月","星期六","6110.1 Possesion of Firearm by Minor","6110","61"
"2625",972,20,"M","B","2016-09-22T14:00:00","14","九月","星期四","6110.2 Possesion of Firearm with Altered Mfg. Number ","6110","61"
"2643",6288,15,"M","B","2017-03-02T21:05:00","21","三月","星期四","6110.1 Possesion of Firearm by Minor","6110","61"
"2658",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","6110.1 Possesion of Firearm by Minor","6110","61"
"2687",3380,17,"M","B","2016-12-11T11:40:00","11","十二月","星期日","6110.1 Possesion of Firearm by Minor","6110","61"
"2743",1006,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","6310.1 Selling Liquor to Minors ","6310","63"
"2744",1006,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","601.19 Social Host and Underage Drinking","601","6"
"2767",1007,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","6310.1 Selling Liquor to Minors ","6310","63"
"2768",1007,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","601.19 Social Host and Underage Drinking","601","6"
"2827",3451,17,"M","B","2016-12-09T21:00:00","21","十二月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"2829",2714,19,"F","B","2016-10-09T02:40:00","2","十月","星期日","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION ","3503","35"
"2854",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","607.03 Discharging Firearm or Airgun ","607","6"
"2855",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"2875",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"2885",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"2918",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"2926",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6110.1 Possesion of Firearm by Minor ","6110","61"
"2927",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"3036",5330,16,"M","B","2017-02-13T17:30:00","17","二月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"3043",3543,21,"M","B","2016-12-19T13:08:00","13","十二月","星期一","607.03 Discharging Firearm or Airgun","607","6"
"3109",3707,21,"M","W","2015-11-04T19:45:00","19","十一月","星期三","601.04 (c) (1) Residential 0700-2200  >65dB(A) 2200-0700 >60dB(A)","601","6"
"3160",6292,16,"M","B","2017-03-08T17:53:00","17","三月","星期三","6110.1 Possesion of Firearm by Minor","6110","61"
"3183",5931,17,"M","B","2017-02-18T06:05:00","6","二月","星期六","6110.1 Possesion of Firearm by Minor","6110","61"
"3187",5972,15,"F","B","2017-02-25T21:00:00","21","二月","星期六","607.07 Carrying Fascimiles of Firearms Prohibited ","607","6"
"3191",5972,15,"F","B","2017-02-25T21:00:00","21","二月","星期六","3742.1 Accident Involv. Death","3742","37"
"3204",6299,13,"M","B","2017-03-08T13:50:00","13","三月","星期三","607.07 Carrying Fascimiles of Firearms Prohibited ","607","6"
"3215",3693,21,"M","B","2016-12-26T09:00:00","9","十二月","星期一","2707.1 Discharge of a Firearm into Occupied Structure ","2707","27"
"3255",3719,14,"M","B","2016-12-21T08:45:00","8","十二月","星期三","3124.1 Sexual Assault","3124","31"
"3259",3720,13,"M","B","2016-12-21T08:45:00","8","十二月","星期三","3124.1 Sexual Assault","3124","31"
"3306",3771,17,"M","B","2016-12-22T22:52:00","22","十二月","星期四","6110.1 Possesion of Firearm by Minor ","6110","61"
"3307",3771,17,"M","B","2016-12-22T22:52:00","22","十二月","星期四","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"3311",3789,17,"M","B","2016-12-16T03:45:00","3","十二月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"3346",1262,18,"M","B","2016-08-08T14:17:00","14","八月","星期一","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"3378",1275,17,"F","B","2016-09-25T02:23:00","2","九月","星期日","6110.1 Possesion of Firearm by Minor","6110","61"
"3420",1284,17,"M","B","2016-09-29T19:15:00","19","九月","星期四","6110.1 Possesion of Firearm by Minor","6110","61"
"3427",1285,16,"M","B","2016-09-29T19:15:00","19","九月","星期四","6110.1 Possesion of Firearm by Minor","6110","61"
"3437",1294,16,"M","B","2016-09-13T16:21:00","16","九月","星期二","6110.1 Possesion of Firearm by Minor","6110","61"
"3442",1302,20,"M","W","2016-09-17T01:40:00","1","九月","星期六","601.16 Public Urination And Defecation","601","6"
"3464",1335,20,"M","W","2016-10-01T20:35:00","20","十月","星期六","6310.1 Selling Liquor to Minors ","6310","63"
"3465",1335,20,"M","W","2016-10-01T20:35:00","20","十月","星期六","601.19 Social Host and Underage Drinking","601","6"
"3477",1395,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6310.1 Selling Liquor to Minors ","6310","63"
"3478",1395,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","601.19 Social Host and Underage Drinking","601","6"
"3483",1396,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6310.1 Selling Liquor to Minors ","6310","63"
"3484",1396,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","601.19 Social Host and Underage Drinking","601","6"
"3489",1397,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6310.1 Selling Liquor to Minors ","6310","63"
"3490",1397,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","601.19 Social Host and Underage Drinking","601","6"
"3495",1398,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6310.1 Selling Liquor to Minors ","6310","63"
"3496",1398,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","601.19 Social Host and Underage Drinking","601","6"
"3557",1562,18,"M","B","2016-09-28T17:00:00","17","九月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"3567",3902,21,"M","W","2016-12-24T02:00:00","2","十二月","星期六","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION ","3503","35"
"3578",6407,19,"M","B","2017-02-27T12:34:00","12","二月","星期一","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION ","3503","35"
"3597",1611,18,"M","W","2016-09-26T20:55:00","20","九月","星期一","607.03 Discharging Firearm or Airgun","607","6"
"3633",4016,18,"M","B","2016-12-28T17:58:00","17","十二月","星期三","607.06 Carrying of Operable Firearms Prohibited ","607","6"
"3634",4016,18,"M","B","2016-12-28T17:58:00","17","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number ","6110","61"
"3637",4018,18,"M","B","2016-12-28T18:02:00","18","十二月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"3654",1874,20,"M","B","2016-10-05T18:38:00","18","十月","星期三","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
"475",6479,21,"M","B","2017-03-05T09:03:00","9","三月","星期日","607.07 Carrying Fascimiles of Firearms Prohibited ","607","6"
"504",1534,21,"M","W","2016-09-27T11:45:00","11","九月","星期二","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"617",3452,13,"M","B","2016-12-12T16:07:00","16","十二月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"1824",4017,19,"M","B","2016-12-28T17:58:00","17","十二月","星期三","607.06 Carrying of Operable Firearms Prohibited ","607","6"
"1842",2206,21,"M","W","2016-10-22T01:40:00","1","十月","星期六","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"2019",2986,18,"M","B","2016-11-17T12:00:00","12","十一月","星期四","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"3108",3707,21,"M","W","2015-11-04T19:45:00","19","十一月","星期三","6310.1 Selling Liquor to Minors ","6310","63"
"3546",1533,21,"M","W","2016-09-27T11:45:00","11","九月","星期二","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"3547",1535,21,"M","W","2016-09-27T11:45:00","11","九月","星期二","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","3503","35"
"3636",4018,18,"M","B","2016-12-28T18:02:00","18","十二月","星期三","607.06 Carrying of Operable Firearms Prohibited ","607","6"
"3",3104,17,"M","B","2016-11-21T11:00:00","11","十一月","星期一","3503(b)(1)(i) Actual Communication","3503","35"
"6",4209,20,"M","B","2017-01-03T15:40:00","15","一月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"8",4209,20,"M","B","2017-01-03T15:40:00","15","一月","星期二","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"10",4315,20,"M","B","2017-01-03T15:30:00","15","一月","星期二","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"11",4315,20,"M","B","2017-01-03T15:30:00","15","一月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"26",6031,12,"F","B","2017-02-21T12:20:00","12","二月","星期二","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"37",4413,15,"M","B","2017-01-12T11:21:00","11","一月","星期四","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"53",2063,10,"M","B","2016-10-20T10:45:00","10","十月","星期四","3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property) ","3304","33"
"54",2063,10,"M","B","2016-10-20T10:45:00","10","十月","星期四","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"57",3843,21,"M","B","2016-12-19T13:10:00","13","十二月","星期一","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","6105","61"
"64",2064,12,"M","B","2016-10-24T14:30:00","14","十月","星期一","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"67",3368,21,"M","H","2016-11-24T02:03:00","2","十一月","星期四","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"74",4459,18,"M","B","2017-01-23T17:40:00","17","一月","星期一","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","6105","61"
"76",1762,20,"M","B","2016-10-05T21:00:00","21","十月","星期三","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"80",4154,18,"M","B","2016-12-31T12:26:00","12","十二月","星期六","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"82",4154,18,"M","B","2016-12-31T12:26:00","12","十二月","星期六","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"83",4154,18,"M","B","2016-12-31T12:26:00","12","十二月","星期六","13(a)(30) Possession w","13(a)","13(a)"
"86",4154,18,"M","B","2016-12-31T12:26:00","12","十二月","星期六","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"88",5878,20,"M","B","2017-02-23T18:02:00","18","二月","星期四","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"90",2110,18,"F","W","2016-10-30T03:40:00","3","十月","星期日","3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3802","38"
"92",95,21,"M","B","2016-08-29T23:30:00","23","八月","星期一","13(a)(30) Possession w","13(a)","13(a)"
"94",95,21,"M","B","2016-08-29T23:30:00","23","八月","星期一","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"105",4193,21,"M","W","2017-01-01T00:58:00","0","一月","星期日","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"109",2218,20,"M","B","2016-10-18T20:20:00","20","十月","星期二","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"110",2218,20,"M","B","2016-10-18T20:20:00","20","十月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"115",4537,21,"M","B","2017-01-11T20:45:00","20","一月","星期三","13(a)(31) Marijuana: Possession Small Amount","13(a)","13(a)"
"122",2235,16,"F","B","2016-10-18T20:34:00","20","十月","星期二","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"129",2236,20,"M","W","2016-10-19T13:00:00","13","十月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"130",2236,20,"M","W","2016-10-19T13:00:00","13","十月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"135",3203,19,"M","B","2016-12-07T08:55:00","8","十二月","星期三","3921(a) Theft by Unlawful Taking or Disposition - Movable item","3921","39"
"158",2238,20,"M","B","2016-10-19T13:00:00","13","十月","星期三","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) ","6105","61"
"160",2238,20,"M","B","2016-10-19T13:00:00","13","十月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"161",2238,20,"M","B","2016-10-19T13:00:00","13","十月","星期三","13(a)(30) Possession w","13(a)","13(a)"
"164",2069,16,"F","B","2016-10-25T14:55:00","14","十月","星期二","5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","5503","55"
"166",6537,18,"F","U","2017-03-14T10:15:00","10","三月","星期二","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"172",4610,21,"M","W","2017-01-14T01:55:00","1","一月","星期六","5507(a) Obstructing highway, railroad or public passage","5507","55"
"181",6236,19,"M","B","2017-03-03T19:10:00","19","三月","星期五","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"182",6236,19,"M","B","2017-03-03T19:10:00","19","三月","星期五","13(a)(30) Possession w","13(a)","13(a)"
"184",6236,19,"M","B","2017-03-03T19:10:00","19","三月","星期五","13(a)(30) Possession w","13(a)","13(a)"
"186",6236,19,"M","B","2017-03-03T19:10:00","19","三月","星期五","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"198",3725,12,"M","B","2016-12-19T09:14:00","9","十二月","星期一","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"205",4358,17,"M","B","2017-01-01T16:21:00","16","一月","星期日","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"206",4358,17,"M","B","2017-01-01T16:21:00","16","一月","星期日","13(a)(30) Possession w","13(a)","13(a)"
"208",4358,17,"M","B","2017-01-01T16:21:00","16","一月","星期日","13(a)(32) Paraphernalia - Use or Possession ","13(a)","13(a)"
"209",4358,17,"M","B","2017-01-01T16:21:00","16","一月","星期日","13(a)(31) Marijuana: Possession Small Amount ","13(a)","13(a)"
"213",4362,15,"F","B","2017-01-09T08:40:00","8","一月","星期一","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS","5503","55"
"227",2275,21,"F","B","2016-10-25T14:23:00","14","十月","星期二","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"228",2275,21,"F","B","2016-10-25T14:23:00","14","十月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"230",2275,21,"F","B","2016-10-25T14:23:00","14","十月","星期二","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"232",2276,20,"F","B","2016-10-25T14:23:00","14","十月","星期二","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
"233",2276,20,"F","B","2016-10-25T14:23:00","14","十月","星期二","13(a)(30) Possession w","13(a)","13(a)"
"235",2276,20,"F","B","2016-10-25T14:23:00","14","十月","星期二","13(a)(32) Paraphernalia - Use or Possession","13(a)","13(a)"
"242",4383,20,"M","U","2017-01-07T01:31:00","1","一月","星期六","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor ","6308","63"
"243",4383,20,"M","U","2017-01-07T01:31:00","1","一月","星期六","3802(a)(1) DUI - General Impairment ","3802","38"
"244",4383,20,"M","U","2017-01-07T01:31:00","1","一月","星期六","3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% ","3802","38"
"245",4383,20,"M","U","2017-01-07T01:31:00","1","一月","星期六","3802(e) DUI - Minors - BAC >=.02%","3802","38"
"252",4393,19,"M","B","2017-01-07T04:20:00","4","一月","星期六","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor ","6308","63"
"258",4408,20,"F","B","2017-01-07T22:45:00","22","一月","星期六","13(a)(30) Possession w","13(a)","13(a)"
"261",2271,19,"M","B","2016-10-19T14:17:00","14","十月","星期三","13(a)(16) Possession of Controlled Substance ","13(a)","13(a)"
