"","ID","AGE","GENDER","RACE","ArrestTime","OFFENSE","Hour","Month","Weekday","Teen","Code","ShortCode"
"3413",4350,29,"F","B","2017-01-04T15:41:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST","15","January","Wednesday",0,"3503","35"
"3453",4017,19,"M","B","2016-12-28T17:58:00","607.06 Carrying of Operable Firearms Prohibited / 6110.2 Possesion of Firearm with Altered Mfg. Number","17","December","Wednesday",1,"607","6"
"3503",2206,21,"M","W","2016-10-22T01:40:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","1","October","Saturday",1,"3503","35"
"3517",6531,26,"M","B","2017-03-14T17:00:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","17","March","Tuesday",0,"3503","35"
"3689",2183,53,"M","W","2016-10-20T20:28:00","3926.C1 THEFT OF SERVICES","20","October","Thursday",0,"3926","39"
"3823",5148,27,"M","B","2017-01-29T22:22:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","22","January","Sunday",0,"3503","35"
"3916",2986,18,"M","B","2016-11-17T12:00:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","12","November","Thursday",1,"3503","35"
"4011",4259,23,"M","B","2017-01-05T13:02:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","13","January","Thursday",0,"3503","35"
"4013",1455,39,"M","B","2016-09-28T13:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","13","September","Wednesday",0,"3503","35"
"4161",3091,52,"M","B","2016-11-28T11:40:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","11","November","Monday",0,"2709","27"
"5076",5590,61,"M","B","2017-02-10T16:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 602.04(b)(2)(c) Aggressive Panhandling: Directing violent or threatening gestures","16","February","Friday",0,"3503","35"
"5292",921,52,"U","B","2016-09-02T08:30:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","8","September","Friday",0,"2709","27"
"5468",2719,55,"M","W","2016-10-23T19:52:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","19","October","Sunday",0,"3503","35"
"5522",1071,37,"M","W","2016-09-04T20:20:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","20","September","Sunday",0,"3503","35"
"5609",3485,59,"F","B","2016-12-02T19:29:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","19","December","Friday",0,"3503","35"
"5729",5756,32,"M","W","2017-02-21T20:19:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE","20","February","Tuesday",0,"3503","35"
"5770",3690,53,"M","W","2016-12-28T15:25:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","15","December","Wednesday",0,"3503","35"
"5786",4072,58,"M","B","2016-12-30T20:15:00","601.16 Public Urination And Defecation / 13(a)(32) Paraphernalia - Use or Possession / 3503(b)(1)(i) Actual Communication","20","December","Friday",0,"601","6"
"5939",1171,22,"M","W","2016-09-11T00:17:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","0","September","Sunday",0,"3503","35"
"6405",3858,29,"F","B","2016-12-13T16:31:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","16","December","Tuesday",0,"3503","35"
"6564",1532,26,"M","B","2016-09-27T11:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","11","September","Tuesday",0,"3503","35"
"6565",1533,21,"M","W","2016-09-27T11:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","11","September","Tuesday",1,"3503","35"
"6566",1535,21,"M","W","2016-09-27T11:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","11","September","Tuesday",1,"3503","35"
"6626",3898,24,"M","W","2017-01-07T17:30:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","17","January","Saturday",0,"2709","27"
"6724",4018,18,"M","B","2016-12-28T18:02:00","607.06 Carrying of Operable Firearms Prohibited / 6110.2 Possesion of Firearm with Altered Mfg. Number","18","December","Wednesday",1,"607","6"
"1",3104,17,"M","B","2016-11-21T11:00:00","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3503(b)(1)(i) Actual Communication","11","November","Monday",1,"5503","55"
"3",1502,19,"M","B","2016-09-23T20:42:00","13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use","20","September","Friday",1,"13(a)","13(a)"
"4",1702,50,"M","B","2016-10-01T02:30:00","13(a)(16) Possession of Controlled Substance","2","October","Saturday",0,"13(a)","13(a)"
"9",4311,69,"M","B","2017-01-03T14:05:00","3802(a)(1) DUI - General Impairment","14","January","Tuesday",0,"3802","38"
"10",4209,20,"M","B","2017-01-03T15:40:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","15","January","Tuesday",1,"13(a)","13(a)"
"11",4313,27,"M","W","2017-01-03T15:00:00","13(a)(16) Possession of Controlled Substance","15","January","Tuesday",0,"13(a)","13(a)"
"18",3808,33,"F","W","2016-12-13T19:10:00","13(a)(32) Paraphernalia - Use or Possession","19","December","Tuesday",0,"13(a)","13(a)"
"20",4344,26,"F","W","2017-01-04T04:37:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","4","January","Wednesday",0,"3802","38"
"21",2014,41,"M","W","2016-10-14T08:55:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","8","October","Friday",0,"13(a)","13(a)"
"31",6613,23,"M","W","2017-03-04T06:45:00","3802(a)(1) DUI - General Impairment","6","March","Saturday",0,"3802","38"
"38",6603,59,"F","W","2017-03-17T12:39:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","12","March","Friday",0,"13(a)","13(a)"
"40",5006,16,"M","B","2017-01-27T09:37:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","9","January","Friday",1,"2701","27"
"41",3339,29,"M","B","2016-11-23T19:32:00","13(a)(32) Paraphernalia - Use or Possession / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","19","November","Wednesday",0,"13(a)","13(a)"
"43",4055,29,"M","W","2016-12-29T18:10:00","13(a)(32) Paraphernalia - Use or Possession / 3802(d)(1)(i) DUI - Controlled Substance - Schedule I","18","December","Thursday",0,"13(a)","13(a)"
"45",6622,36,"M","B","2017-03-16T14:05:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication / 13(a)(30)* Delivery of Controlled Substance","14","March","Thursday",0,"13(a)","13(a)"
"48",2210,51,"F","B","2016-10-22T03:49:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3","October","Saturday",0,"3802","38"
"49",4059,33,"M","W","2016-12-24T15:00:00","3802(a)(1) DUI - General Impairment","15","December","Saturday",0,"3802","38"
"59",4380,48,"M","W","2017-01-06T04:46:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","4","January","Friday",0,"3802","38"
"62",43,27,"M","W","2016-08-19T20:22:00","3126(a)(1) Indecent assault without consent / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows","20","August","Friday",0,"3126","31"
"63",1728,32,"F","W","2016-10-04T09:45:00","5902(a)(1) Prostitution  / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities / 5902(a)(2) Prostitution - Loitering for purpose of","9","October","Tuesday",0,"5902","59"
"65",2030,26,"M","B","2016-10-27T03:18:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","3","October","Thursday",0,"3802","38"
"79",4428,48,"M","B","2017-01-10T22:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","22","January","Tuesday",0,"2701","27"
"81",4068,47,"M","B","2016-12-24T11:30:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","11","December","Saturday",0,"13(a)","13(a)"
"83",4435,51,"F","B","2017-01-11T03:25:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","3","January","Wednesday",0,"13(a)","13(a)"
"84",4439,53,"M","W","2017-01-05T10:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","10","January","Thursday",0,"2701","27"
"101",1742,22,"M","A","2016-10-05T19:56:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","19","October","Wednesday",0,"13(a)","13(a)"
"109",2064,12,"M","B","2016-10-24T14:30:00","13(a)(31) Marijuana: Possession Small Amount / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","14","October","Monday",1,"13(a)","13(a)"
"110",3368,21,"M","H","2016-11-24T02:03:00","2709(a)(3) Harassment No Legitimate Purpose / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","2","November","Thursday",1,"2709","27"
"114",4135,32,"F","W","2016-12-29T13:08:00","13(a)(32) Paraphernalia - Use or Possession","13","December","Thursday",0,"13(a)","13(a)"
"115",4452,33,"F","W","2017-01-24T10:20:00","5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession / 5902(a)(2) Prostitution - Loitering for purpose of","10","January","Tuesday",0,"5902","59"
"119",1755,44,"M","W","2016-10-23T16:58:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","16","October","Sunday",0,"3929","39"
"123",1238,30,"F","W","2016-09-16T18:59:00","13(a)(32) Paraphernalia - Use or Possession","18","September","Friday",0,"13(a)","13(a)"
"125",1610,26,"F","W","2016-09-26T18:15:00","3802(a)(1) DUI - General Impairment","18","September","Monday",0,"3802","38"
"129",6687,31,"F","W","2017-03-20T11:15:00","4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","11","March","Monday",0,"4304","43"
"140",6698,35,"M","B","2017-03-23T01:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","1","March","Thursday",0,"2701","27"
"146",4148,34,"M","W","2016-12-14T20:00:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4914(A) False Identification to Law Enforcement / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","20","December","Wednesday",0,"13(a)","13(a)"
"152",3607,26,"F","W","2016-12-09T01:44:00","3503(b)(1)(i) Actual Communication","1","December","Friday",0,"3503","35"
"164",2110,18,"F","W","2016-10-30T03:40:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3","October","Sunday",1,"3802","38"
"167",4159,49,"M","B","2017-01-14T18:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","18","January","Saturday",0,"2701","27"
"170",95,21,"M","B","2016-08-29T23:30:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount","23","August","Monday",1,"13(a)","13(a)"
"172",2113,37,"F","W","2016-10-20T00:39:00","13(a)(32) Paraphernalia - Use or Possession / 4304(a)(1) Enhanced Endangering Welfare of Children - Course of Conduct","0","October","Thursday",0,"13(a)","13(a)"
"208",4533,29,"M","B","2017-01-16T14:41:00","13(a)(31) Marijuana: Possession Small Amount","14","January","Monday",0,"13(a)","13(a)"
"210",6727,45,"M","B","2017-03-19T04:15:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","4","March","Sunday",0,"3802","38"
"211",6157,33,"M","W","2017-03-02T15:47:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","15","March","Thursday",0,"13(a)","13(a)"
"221",2162,55,"F","W","2016-10-21T20:00:00","3802(a)(1) DUI - General Impairment","20","October","Friday",0,"3802","38"
"222",3966,44,"F","B","2016-12-29T21:22:00","2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","21","December","Thursday",0,"2701","27"
"228",2221,71,"M","B","2016-10-18T22:50:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","22","October","Tuesday",0,"2701","27"
"235",2166,18,"M","O","2016-10-21T01:10:00","3503(b)(1)(i) Actual Communication","1","October","Friday",1,"3503","35"
"240",6610,40,"M","B","2017-03-17T14:00:00","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","14","March","Friday",0,"6105","61"
"244",1857,25,"F","W","2016-10-06T16:39:00","13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","16","October","Thursday",0,"13(a)","13(a)"
"248",4601,54,"M","W","2017-01-12T18:30:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","18","January","Thursday",0,"3802","38"
"250",4613,22,"M","B","2017-01-17T14:39:00","3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s)","14","January","Tuesday",0,"3503","35"
"255",4557,25,"M","W","2017-01-13T18:25:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant","18","January","Friday",0,"13(a)","13(a)"
"257",6186,40,"F","B","2017-03-05T09:30:00","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities","9","March","Sunday",0,"13(a)","13(a)"
"260",4563,23,"M","W","2017-01-13T19:21:00","13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3503(b)(1)(i) Actual Communication","19","January","Friday",0,"13(a)","13(a)"
"264",6190,18,"M","W","2017-03-03T13:49:00","13(a)(31) Marijuana: Possession Small Amount","13","March","Friday",1,"13(a)","13(a)"
"266",1629,25,"F","W","2016-09-24T17:15:00","13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant","17","September","Saturday",0,"13(a)","13(a)"
"270",1639,38,"M","W","2016-10-14T22:48:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","22","October","Friday",0,"3929","39"
"275",3908,46,"F","B","2016-12-22T11:31:00","13(a)(32) Paraphernalia - Use or Possession / 3503 Criminal Trespass / 4914 False Identification to Law Enforcement Authorities","11","December","Thursday",0,"13(a)","13(a)"
"285",6528,43,"M","W","2017-03-14T19:49:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","19","March","Tuesday",0,"13(a)","13(a)"
"288",6201,19,"M","W","2017-03-06T08:20:00","13(a)(32) Paraphernalia - Use or Possession","8","March","Monday",1,"13(a)","13(a)"
"299",4300,51,"M","W","2017-01-08T03:05:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","3","January","Sunday",0,"2701","27"
"300",2201,36,"F","W","2016-10-17T16:47:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","16","October","Monday",0,"13(a)","13(a)"
"308",6259,40,"M","W","2017-03-09T06:56:00","2709(a) Harassment. / 5123 Contraband. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3503(b.1) Criminal Trespass - Simple Trespasser","6","March","Thursday",0,"2709","27"
"310",6334,37,"F","W","2017-03-08T14:00:00","4304(a)(1) Endangering Welfare of Children.","14","March","Wednesday",0,"4304","43"
"312",1649,24,"F","W","2016-09-30T20:18:00","13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","20","September","Friday",0,"13(a)","13(a)"
"316",2069,16,"F","B","2016-10-25T14:55:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","14","October","Tuesday",1,"2701","27"
"318",6537,18,"F","U","2017-03-14T10:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","10","March","Tuesday",1,"13(a)","13(a)"
"319",4319,20,"M","B","2017-01-17T10:50:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","10","January","Tuesday",1,"2701","27"
"321",2248,43,"F","B","2016-10-23T22:34:00","4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","22","October","Sunday",0,"4304","43"
"325",6045,22,"M","W","2017-02-28T16:45:00","13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant","16","February","Tuesday",0,"13(a)","13(a)"
"336",1878,39,"M","B","2016-10-22T04:45:00","3921(a) Theft by Unlawful Taking or Disposition - Movable item","4","October","Saturday",0,"3921","39"
"347",4646,35,"M","W","2016-12-23T12:35:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","12","December","Friday",0,"3929","39"
"350",2223,34,"M","B","2016-09-02T18:50:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","18","September","Friday",0,"2701","27"
"351",4336,30,"F","W","2017-01-04T11:45:00","13(a)(32) Paraphernalia - Use or Possession / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","11","January","Wednesday",0,"13(a)","13(a)"
"354",6236,19,"M","B","2017-03-03T19:10:00","13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","19","March","Friday",1,"13(a)","13(a)"
"360",2257,26,"F","W","2016-10-23T01:09:00","3802(a)(1) DUI - General Impairment","1","October","Sunday",0,"3802","38"
"361",6567,22,"M","W","2017-03-19T08:20:00","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)","8","March","Sunday",0,"3304","33"
"363",2258,23,"M","B","2016-10-23T01:30:00","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","1","October","Sunday",0,"5503","55"
"364",6569,22,"M","W","2017-03-19T08:20:00","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)","8","March","Sunday",0,"3304","33"
"367",4345,37,"M","W","2017-01-04T09:00:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","9","January","Wednesday",0,"3929","39"
"376",3515,28,"F","B","2016-12-07T19:54:00","4914(A) False Identification to Law Enforcement","19","December","Wednesday",0,"4914","49"
"384",1522,23,"F","W","2016-09-27T17:30:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","17","September","Tuesday",0,"13(a)","13(a)"
"391",1906,25,"F","W","2016-10-14T18:21:00","13(a)(32) Paraphernalia - Use or Possession","18","October","Friday",0,"13(a)","13(a)"
"395",4367,17,"M","W","2017-01-13T12:11:00","13(a)(31) Marijuana: Possession Small Amount","12","January","Friday",1,"13(a)","13(a)"
"401",6592,50,"F","W","2017-03-13T17:58:00","13(a)(32) Paraphernalia - Use or Possession","17","March","Monday",0,"13(a)","13(a)"
"403",4369,33,"M","B","2017-01-07T13:16:00","13(a)(16) Possession of Controlled Substance","13","January","Saturday",0,"13(a)","13(a)"
"404",2234,32,"M","W","2016-10-26T18:15:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","18","October","Wednesday",0,"13(a)","13(a)"
"405",4370,16,"M","B","2017-01-13T12:24:00","13(a)(32) Paraphernalia - Use or Possession","12","January","Friday",1,"13(a)","13(a)"
"407",6268,31,"M","W","2017-03-09T11:42:00","4304(a)(1) Endangering Welfare of Children. / 9998 Overdose Other","11","March","Thursday",0,"4304","43"
"411",2385,22,"M","B","2016-10-28T12:36:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 7512 Criminal Use of Communication","12","October","Friday",0,"13(a)","13(a)"
"412",3258,42,"F","W","2016-11-22T20:50:00","5902(a)(1) Prostitution  / 5902(a)(2) Prostitution - Loitering for purpose of","20","November","Tuesday",0,"5902","59"
"414",5698,25,"M","W","2017-02-21T13:00:00","3126(a)(1) Indecent assault without consent / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","13","February","Tuesday",0,"3126","31"
"420",2080,26,"M","B","2016-10-13T18:54:00","13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant / 9998 Overdose Other","18","October","Thursday",0,"13(a)","13(a)"
