"","ID","AGE","GENDER","RACE","ArrestTime","OFFENSE","Hour","Month","Weekday","Teen"
"17",3506,25,"M","B","2016-12-05T19:30:00","901 Criminal Attempt / 4101 Forgery. / 13(a)(12) Obtaining Cont. Subst. by Fraudulent Means","19","December","Monday",0
"18",3808,33,"F","W","2016-12-13T19:10:00","13(a)(32) Paraphernalia - Use or Possession","19","December","Tuesday",0
"19",4342,26,"F","B","2017-01-09T05:19:00","3921 Theft by Unlawful Taking or Disposition. / 1501 Drivers Required to be Licensed.","5","January","Monday",0
"20",4344,26,"F","W","2017-01-04T04:37:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","4","January","Wednesday",0
"21",2014,41,"M","W","2016-10-14T08:55:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","8","October","Friday",0
"22",4352,53,"M","B","2017-01-21T09:10:00","3929 Retail Theft. / 13(a)(32) Paraphernalia - Use or Possession / 4914 False Identification to Law Enforcement Authorities","9","January","Saturday",0
"23",4364,51,"M","B","2017-01-07T11:45:00","9501 Bench Warrant","11","January","Saturday",0
"24",2018,41,"M","O","2016-11-01T09:00:00","4101 Forgery.","9","November","Tuesday",0
"25",2209,19,"M","B","2016-10-25T17:45:00","3925 Receiving Stolen Property. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 1501 Drivers Required to be Licensed. / 9501 Bench Warrant / 3743 Accidents Involving Damage to Attended Veh. or Property","17","October","Tuesday",1
"26",4212,18,"M","B","2017-01-07T17:15:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 3714 Careless Driving / 3743 Accidents Involving Damage to Attended Veh. or Property","17","January","Saturday",1
"27",3813,21,"F","W","2016-12-18T01:30:00","2701 Simple Assault. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 3503 Criminal Trespass","1","December","Sunday",1
"28",2026,29,"M","B","2016-10-31T09:15:00","3925 Receiving Stolen Property.","9","October","Monday",0
"29",5615,34,"M","W","2017-02-21T11:23:00","4915 Failure to Comply with Megans Law","11","February","Tuesday",0
"30",6031,12,"F","B","2017-02-21T12:20:00","2702 Aggravated Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","12","February","Tuesday",1
"31",6613,23,"M","W","2017-03-04T06:45:00","3802(a)(1) DUI - General Impairment","6","March","Saturday",0
"32",6615,32,"M","O","2017-03-13T17:20:00","9501 Bench Warrant","17","March","Monday",0
"33",3900,25,"M","B","2016-12-20T10:30:00","903 Criminal Conspiracy. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","10","December","Tuesday",0
"34",4375,45,"M","W","2017-01-02T19:53:00","903 Criminal Conspiracy. / 2701 Simple Assault. / 3502 Burglary. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","19","January","Monday",0
"35",2058,16,"M","B","2016-11-01T14:15:00","903 Criminal Conspiracy. / 3925 Receiving Stolen Property.","14","November","Tuesday",1
"36",4051,24,"F","B","2016-12-26T05:22:00","3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount","5","December","Monday",0
"37",4376,22,"F","W","2017-01-02T19:53:00","903 Criminal Conspiracy. / 2701 Simple Assault. / 3502 Burglary. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","19","January","Monday",0
"38",6603,59,"F","W","2017-03-17T12:39:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","12","March","Friday",0
"39",4052,23,"F","B","2016-12-26T05:22:00","5123 Contraband. / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 3802(a)(1) DUI - General Impairment","5","December","Monday",0
"40",5006,16,"M","B","2017-01-27T09:37:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","9","January","Friday",1
"41",3339,29,"M","B","2016-11-23T19:32:00","13(a)(32) Paraphernalia - Use or Possession / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","19","November","Wednesday",0
"42",3821,58,"M","B","2016-12-21T01:53:00","3925 Receiving Stolen Property. / 1372 Unauthorized Transfer or Use of Registration.","1","December","Wednesday",0
"43",4055,29,"M","W","2016-12-29T18:10:00","13(a)(32) Paraphernalia - Use or Possession / 3802(d)(1)(i) DUI - Controlled Substance - Schedule I","18","December","Thursday",0
"44",2202,26,"M","B","2016-10-17T16:35:00","5126 Flight to Avoid Apprehension, Trial or Punishment. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant","16","October","Monday",0
"45",6622,36,"M","B","2017-03-16T14:05:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication / 13(a)(30)* Delivery of Controlled Substance","14","March","Thursday",0
"46",2208,27,"M","B","2016-10-22T03:29:00","2701 Simple Assault.","3","October","Saturday",0
"47",4054,20,"F","B","2016-12-29T15:23:00","2701 Simple Assault.","15","December","Thursday",1
"48",2210,51,"F","B","2016-10-22T03:49:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","3","October","Saturday",0
"49",4059,33,"M","W","2016-12-24T15:00:00","3802(a)(1) DUI - General Impairment","15","December","Saturday",0
"50",6631,42,"M","W","2017-03-16T16:46:00","5507 Obstructing Highways and Passages.","16","March","Thursday",0
"51",2211,39,"M","B","2016-10-22T12:15:00","3921 Theft by Unlawful Taking or Disposition. / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure","12","October","Saturday",0
"52",3728,14,"M","U","2016-12-13T09:00:00","912 Possession of Weapon on School Property.","9","December","Tuesday",1
"53",4057,49,"M","B","2016-12-29T19:42:00","9501 Bench Warrant","19","December","Thursday",0
"54",3548,30,"M","W","2016-12-20T17:03:00","3925 Receiving Stolen Property.","17","December","Tuesday",0
"55",4061,20,"M","B","2016-12-24T13:00:00","6106 Firearms not to be Carried without a License.","13","December","Saturday",1
"56",4105,33,"M","W","2016-12-24T19:45:00","5505 Public Drunkenness / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","19","December","Saturday",0
"57",2029,33,"M","W","2016-11-01T07:52:00","3502 Burglary. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 517.8(A2) Home Improvement Fraud / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","7","November","Tuesday",0
"58",4378,27,"M","W","2017-01-06T01:17:00","3334 Turning Movements and Required Signals. / 4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","1","January","Friday",0
"59",4380,48,"M","W","2017-01-06T04:46:00","3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%","4","January","Friday",0
"60",4388,21,"M","W","2017-01-09T17:12:00","3304 Criminal Mischief. / 5505 Public Drunkenness","17","January","Monday",1
"61",4399,26,"M","W","2017-01-07T19:15:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance","19","January","Saturday",0
"62",43,27,"M","W","2016-08-19T20:22:00","3126(a)(1) Indecent assault without consent / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows","20","August","Friday",0
"63",1728,32,"F","W","2016-10-04T09:45:00","5902(a)(1) Prostitution  / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities / 5902(a)(2) Prostitution - Loitering for purpose of","9","October","Tuesday",0
"64",4401,31,"F","W","2017-01-07T19:30:00","2701 Simple Assault.","19","January","Saturday",0
"65",2030,26,"M","B","2016-10-27T03:18:00","3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","3","October","Thursday",0
"66",3751,60,"M","B","2016-12-15T15:42:00","908 Prohibited Offensive Weapons. / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","15","December","Thursday",0
"67",4413,15,"M","B","2017-01-12T11:21:00","2702 Aggravated Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING","11","January","Thursday",1
"68",6640,37,"M","B","2017-03-20T00:48:00","3502 Burglary. / 5506 Loitering and Prowling at Night / 13(a)(32) Paraphernalia - Use or Possession","0","March","Monday",0
"69",1806,25,"M","B","2016-10-07T15:09:00","4303 General Lighting Requirements. / 13(a)(31) Marijuana: Possession Small Amount","15","October","Friday",0
"70",2048,27,"M","B","2016-10-28T08:38:00","2702 Aggravated Assault.","8","October","Friday",0
"71",4114,14,"M","W","2016-12-27T10:33:00","912 Possession of Weapon on School Property.","10","December","Tuesday",1
"72",4416,17,"F","B","2017-01-11T22:00:00","2702 Aggravated Assault. / 5501 Riot.","22","January","Wednesday",1
"73",4422,27,"M","B","2017-01-06T18:03:00","4303 General Lighting Requirements. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7124 Fraudulent Use or Removal of Registration Plates / 3809(a) Restriction on Alcoholic Beverages in Vehicle","18","January","Friday",0
"74",4423,26,"M","B","2017-01-06T19:38:00","3925 Receiving Stolen Property. / 1543 Driving While Operating Privilege is Suspended or Revoked.","19","January","Friday",0
"75",2049,27,"M","B","2016-10-27T08:45:00","2701 Simple Assault.","8","October","Thursday",0
"76",3128,28,"M","B","2016-12-06T03:28:00","2702 Aggravated Assault. / 3701 Robbery.","3","December","Tuesday",0
"77",2051,31,"F","W","2016-10-17T02:00:00","3213 Prohibited Acts. / 9501 Bench Warrant","2","October","Monday",0
"78",4076,38,"M","B","2016-12-31T18:00:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3809(a) Restriction on Alcoholic Beverages in Vehicle","18","December","Saturday",0
"79",4428,48,"M","B","2017-01-10T22:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","22","January","Tuesday",0
"80",3753,37,"M","W","2016-12-15T16:45:00","3736 Reckless Driving / 3802(d)(2) DUI - Drug - Impaired Ability","16","December","Thursday",0
"81",4068,47,"M","B","2016-12-24T11:30:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","11","December","Saturday",0
"82",4430,27,"M","B","2017-01-10T23:25:00","2701 Simple Assault. / 3701 Robbery.","23","January","Tuesday",0
"83",4435,51,"F","B","2017-01-11T03:25:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","3","January","Wednesday",0
"84",4439,53,"M","W","2017-01-05T10:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","10","January","Thursday",0
"85",3829,29,"F","W","2016-12-19T07:13:00","5121 Escape. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","7","December","Monday",0
"86",1226,20,"F","B","2016-09-26T04:44:00","3304 Criminal Mischief. / 5503 Disorderly Conduct.","4","September","Monday",1
"87",1475,49,"M","W","2016-09-22T17:05:00","9501 Bench Warrant","17","September","Thursday",0
"88",2054,16,"M","B","2016-11-01T13:20:00","903 Criminal Conspiracy. / 3701 Robbery.","13","November","Tuesday",1
"89",4123,33,"M","O","2016-12-28T21:14:00","9501 Bench Warrant","21","December","Wednesday",0
"90",4442,14,"M","B","2017-01-16T01:30:00","3925 Receiving Stolen Property.","1","January","Monday",1
"91",4126,28,"M","B","2017-01-12T12:20:00","2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ","12","January","Thursday",0
"92",6661,31,"M","W","2017-03-21T22:00:00","9015 Failure To Appear/Arrest on Attachment Order","22","March","Tuesday",0
"93",2059,15,"M","W","2016-10-18T10:23:00","912 Possession of Weapon on School Property.","10","October","Tuesday",1
"94",3834,27,"F","B","2017-01-04T16:26:00","9015 Failure To Appear/Arrest on Attachment Order","16","January","Wednesday",0
"95",4125,28,"F","B","2016-12-28T20:44:00","5123 Contraband. / 5503 Disorderly Conduct. / 3353 Prohibitions in Specified Places. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","20","December","Wednesday",0
"96",4443,14,"M","B","2017-01-16T01:30:00","2705 Recklessy Endangering Another Person. / 1501 Drivers Required to be Licensed. / 3736 Reckless Driving / 3742 Accidents Involving Death or Personal Injury / 3745 Accidents Involving Damage to Unattended Veh.or Prop.","1","January","Monday",1
"97",2063,10,"M","B","2016-10-20T10:45:00","4905 False Alarms to Agencies of Public Safety. / 3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property) / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","10","October","Thursday",1
"98",4132,24,"M","B","2017-01-12T06:26:00","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(2) CRIMINAL MISCHIEF- Tamper With Property (So As To Endanger Person or Property)","6","January","Thursday",0
"99",6605,24,"M","B","2017-03-17T15:05:00","903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 7512 Criminal Use of Communication / 13(a)(30)* Delivery of Controlled Substance","15","March","Friday",0
"100",1423,35,"F","W","2016-09-20T22:37:00","5123 Contraband. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","22","September","Tuesday",0
"101",1742,22,"M","A","2016-10-05T19:56:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","19","October","Wednesday",0
"102",3843,21,"M","B","2016-12-19T13:10:00","3925 Receiving Stolen Property. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","13","December","Monday",1
"103",4444,17,"M","B","2017-01-17T17:02:00","3925 Receiving Stolen Property. / 5121 Escape. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving / 3743 Accidents Involving Damage to Attended Veh. or Property","17","January","Tuesday",1
"104",1746,27,"M","W","2016-10-06T12:45:00","3929 Retail Theft.","12","October","Thursday",0
"105",2228,29,"M","B","2016-09-20T08:30:00","2701 Simple Assault.","8","September","Tuesday",0
"106",3847,28,"M","B","2017-01-06T12:35:00","2706 Terroristic Threats. / 3502 Burglary. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","12","January","Friday",0
"107",4133,37,"M","W","2016-12-29T12:23:00","2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5121 Escape. / 9501 Bench Warrant","12","December","Thursday",0
"108",4446,31,"M","W","2017-01-10T01:38:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 3802(a)(1) DUI - General Impairment / 3809(a) Restriction on Alcoholic Beverages in Vehicle","1","January","Tuesday",0
"109",2064,12,"M","B","2016-10-24T14:30:00","13(a)(31) Marijuana: Possession Small Amount / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","14","October","Monday",1
"110",3368,21,"M","H","2016-11-24T02:03:00","2709(a)(3) Harassment No Legitimate Purpose / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","2","November","Thursday",1
"111",3405,15,"M","B","2016-12-05T11:55:00","2701 Simple Assault. / 2702 Aggravated Assault. / 5503 Disorderly Conduct.","11","December","Monday",1
"112",4134,47,"M","W","2016-12-29T13:08:00","5123 Contraband. / 13(a)(16) Possession of Controlled Substance","13","December","Thursday",0
"113",4220,28,"M","W","2017-01-09T14:08:00","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3736 Reckless Driving / 3742 Accidents Involving Death or Personal Injury / 3732.1 Aggravated Assault by Vehicle","14","January","Monday",0
"114",4135,32,"F","W","2016-12-29T13:08:00","13(a)(32) Paraphernalia - Use or Possession","13","December","Thursday",0
"115",4452,33,"F","W","2017-01-24T10:20:00","5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession / 5902(a)(2) Prostitution - Loitering for purpose of","10","January","Tuesday",0
"116",4454,33,"F","B","2017-01-24T13:29:00","903 Criminal Conspiracy. / 3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 3927 Theft by Failure to Make Required Disp. of Funds / 4101 Forgery. / 7611 Unlawful Use of Computer","13","January","Tuesday",0
"117",4459,18,"M","B","2017-01-23T17:40:00","2501 Criminal Homicide. / 3701 Robbery. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)","17","January","Monday",1
"118",2212,22,"M","W","2016-10-22T05:15:00","3502 Burglary. / 3112 Traffic-Control Signals. / 13(a)(16) Possession of Controlled Substance / 3802(a)(1) DUI - General Impairment / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another","5","October","Saturday",0
"119",1755,44,"M","W","2016-10-23T16:58:00","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","16","October","Sunday",0
"120",4466,58,"M","W","2017-01-09T15:51:00","9501 Bench Warrant","15","January","Monday",0
"121",4137,28,"M","B","2016-12-29T14:26:00","903 Criminal Conspiracy. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 6110.2 Possesion of Firearm with Altered Mfg. Number","14","December","Thursday",0
"122",4472,24,"F","B","2017-01-23T11:56:00","3701 Robbery.","11","January","Monday",0
"123",1238,30,"F","W","2016-09-16T18:59:00","13(a)(32) Paraphernalia - Use or Possession","18","September","Friday",0
"124",4475,47,"F","B","2017-01-23T10:00:00","4106 Access Device Fraud / 3921(a) Theft by Unlawful Taking or Disposition - Movable item","10","January","Monday",0
"125",1610,26,"F","W","2016-09-26T18:15:00","3802(a)(1) DUI - General Impairment","18","September","Monday",0
"126",2072,24,"F","B","2016-10-11T02:30:00","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2707.1 Discharge of a Firearm into Occupied Structure","2","October","Tuesday",0
"127",4138,30,"M","B","2016-12-29T14:26:00","903 Criminal Conspiracy. / 3111 Obedience to Traffic-Control Devices. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","14","December","Thursday",0
"128",4476,26,"F","B","2017-01-22T13:20:00","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3304 Criminal Mischief. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3743 Accidents Involving Damage to Attended Veh. or Property","13","January","Sunday",0
"129",6687,31,"F","W","2017-03-20T11:15:00","4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older","11","March","Monday",0
"130",4484,23,"F","W","2017-01-10T17:19:00","907 Possessing Instruments of Crime. / 3502 Burglary. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","17","January","Tuesday",0
"131",6690,26,"M","B","2017-03-23T11:30:00","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person.","11","March","Thursday",0
"132",4493,25,"F","W","2017-01-16T01:15:00","2702 Aggravated Assault. / 5505 Public Drunkenness","1","January","Monday",0
"133",1762,20,"M","B","2016-10-05T21:00:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(31) Marijuana: Possession Small Amount","21","October","Wednesday",1
"134",2075,31,"F","W","2016-10-11T12:16:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","12","October","Tuesday",0
"135",4494,21,"M","W","2017-01-16T01:15:00","5101 Obstructing Admin. of Law  / 5505 Public Drunkenness","1","January","Monday",1
"136",3880,30,"M","B","2017-01-04T19:54:00","2701 Simple Assault.","19","January","Wednesday",0
"137",2215,27,"M","W","2016-10-19T19:50:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(16) Possession of Controlled Substance / 3709 Dep. Waste and Other Material ","19","October","Wednesday",0
"138",4510,39,"M","B","2017-01-08T21:32:00","2701 Simple Assault. / 2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 3503(b)(1)(i) Actual Communication","21","January","Sunday",0
"139",4525,29,"M","W","2017-01-11T15:30:00","3929 Retail Theft.","15","January","Wednesday",0
"140",6698,35,"M","B","2017-03-23T01:00:00","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","1","March","Thursday",0
"141",2081,37,"F","B","2016-10-13T19:47:00","2702 Aggravated Assault.","19","October","Thursday",0
"142",4142,31,"M","B","2016-12-31T10:38:00","9501 Bench Warrant","10","December","Saturday",0
"143",4145,42,"M","B","2016-12-14T18:25:00","3929 Retail Theft. / 13(a)(32) Paraphernalia - Use or Possession / 3503(b)(1)(i) Actual Communication","18","December","Wednesday",0
"144",6509,30,"F","B","2017-03-12T19:16:00","2701 Simple Assault.","19","March","Sunday",0
"145",6040,23,"M","W","2017-02-26T00:34:00","2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness","0","February","Sunday",0
"146",4148,34,"M","W","2016-12-14T20:00:00","13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4914(A) False Identification to Law Enforcement / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","20","December","Wednesday",0
"147",4528,25,"M","B","2017-01-16T09:30:00","1543 Driving While Operating Privilege is Suspended or Revoked. / 7122 Altered, Forged or Counterfeit Documents and Plates / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","9","January","Monday",0
"148",6109,44,"M","B","2017-03-04T20:30:00","3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 4106 Access Device Fraud","20","March","Saturday",0
"149",6512,36,"F","W","2017-03-12T19:44:00","2701 Simple Assault. / 2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement.","19","March","Sunday",0
"150",1568,35,"M","B","2016-10-12T16:15:00","2701 Simple Assault.","16","October","Wednesday",0
"151",2085,52,"M","W","2016-10-27T23:40:00","2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","23","October","Thursday",0
"152",3607,26,"F","W","2016-12-09T01:44:00","3503(b)(1)(i) Actual Communication","1","December","Friday",0
"153",3896,26,"M","B","2017-01-07T02:58:00","901 Criminal Attempt / 2702 Aggravated Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.","2","January","Saturday",0
"154",6481,27,"M","W","2017-03-11T21:58:00","2706 Terroristic Threats. / 2710 Ethnic Intimidation. / 4701 Bribery in Official and Political Matters. / 3112 Traffic-Control Signals. / 3802(a)(1) DUI - General Impairment","21","March","Saturday",0
"155",4154,18,"M","B","2016-12-31T12:26:00","5126 Flight to Avoid Apprehension, Trial or Punishment. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount","12","December","Saturday",1
"156",5878,20,"M","B","2017-02-23T18:02:00","4303 General Lighting Requirements. / 13(a)(31) Marijuana: Possession Small Amount","18","February","Thursday",1
"157",1770,37,"M","B","2016-10-04T17:29:00","3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 13(a)(31) Marijuana: Possession Small Amount","17","October","Tuesday",0
"158",6112,25,"M","B","2017-02-18T03:27:00","2701 Simple Assault. / 3701 Robbery. / 4106 Access Device Fraud / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","3","February","Saturday",0
